combination,relevant_property,sharpness,category,observed_mean,observed_lower,observed_upper,summary_type
dimension_color,second,blurred,C,0.8907407407407407,0.8388888888888889,0.9333333333333333,Initial adjective
dimension_color,second,blurred,D,0.04259259259259259,0.011111111111111112,0.08148148148148149,Initial adjective
dimension_color,second,blurred,F,0.06666666666666667,0.03888888888888889,0.10740740740740741,Initial adjective
dimension_color,second,sharp,C,0.9475890985324947,0.9161425576519916,0.9727463312368972,Initial adjective
dimension_color,second,sharp,D,0.010482180293501049,0,0.027253668763102725,Initial adjective
dimension_color,second,sharp,F,0.041928721174004195,0.018867924528301886,0.07127882599580712,Initial adjective
dimension_form,both,blurred,C,0.21092278719397364,0.1641509433962264,0.26276987364441357,Initial adjective
dimension_form,both,blurred,D,0.751412429378531,0.687382297551789,0.8105065666041276,Initial adjective
dimension_form,both,blurred,F,0.03766478342749529,0.015122873345935728,0.06641681878197128,Initial adjective
dimension_form,both,sharp,C,0.36268343815513626,0.3039832285115304,0.42348008385744235,Initial adjective
dimension_form,both,sharp,D,0.5953878406708596,0.5283018867924528,0.6582809224318659,Initial adjective
dimension_form,both,sharp,F,0.041928721174004195,0.020964360587002098,0.06708595387840671,Initial adjective
dimension_form,first,blurred,C,0.33527131782945735,0.2868001728195323,0.38899440059945645,Initial adjective
dimension_form,first,blurred,D,0.6375968992248062,0.5795655069908646,0.690251967201059,Initial adjective
dimension_form,first,blurred,F,0.027131782945736434,0.009671179883945842,0.050387596899224806,Initial adjective
dimension_form,first,sharp,C,0.19789473684210526,0.14675052410901468,0.2573959079691108,Initial adjective
dimension_form,first,sharp,D,0.7726315789473684,0.7052631578947368,0.8305174329021393,Initial adjective
dimension_form,first,sharp,F,0.029473684210526315,0.008403361344537815,0.056842105263157895,Initial adjective
dimension_form,second,blurred,C,0.2962962962962963,0.22962962962962963,0.37037037037037035,Initial adjective
dimension_form,second,blurred,D,0.02962962962962963,0.005555555555555556,0.06111111111111111,Initial adjective
dimension_form,second,blurred,F,0.674074074074074,0.5962962962962963,0.7444444444444445,Initial adjective
dimension_form,second,sharp,C,0.30462184873949577,0.23628691983122363,0.37818385215721523,Initial adjective
dimension_form,second,sharp,D,0.02100840336134454,0,0.05672268907563025,Initial adjective
dimension_form,second,sharp,F,0.6743697478991597,0.5974842767295597,0.7457983193277311,Initial adjective
